grid_id,cell_x,cell_y,cell_x_max,cell_y_max,cell_center_x,cell_center_y,incident_count,avg_severity,latest_date,bin_x,bin_y
-122.412252_47.608579,-122.412252473,47.60857934999997,-122.40225247299999,47.61857934999997,-122.407252473,47.61357934999997,0,0,,2,16
-122.412252_47.618579,-122.412252473,47.61857934999997,-122.40225247299999,47.62857934999997,-122.407252473,47.62357934999997,0,0,,2,17
-122.412252_47.628579,-122.412252473,47.62857934999997,-122.40225247299999,47.638579349999965,-122.407252473,47.63357934999997,0,0,,2,18
-122.412252_47.638579,-122.412252473,47.638579349999965,-122.40225247299999,47.64857934999996,-122.407252473,47.64357934999997,0,0,,2,19
-122.412252_47.648579,-122.412252473,47.64857934999996,-122.40225247299999,47.65857934999996,-122.407252473,47.653579349999966,0,0,,2,20
-122.412252_47.658579,-122.412252473,47.65857934999996,-122.40225247299999,47.66857934999996,-122.407252473,47.663579349999964,0,0,,2,21
-122.412252_47.668579,-122.412252473,47.66857934999996,-122.40225247299999,47.67857934999996,-122.407252473,47.67357934999996,0,0,,2,22
-122.412252_47.678579,-122.412252473,47.67857934999996,-122.40225247299999,47.688579349999955,-122.407252473,47.68357934999996,0,0,,2,23
-122.412252_47.688579,-122.412252473,47.688579349999955,-122.40225247299999,47.69857934999995,-122.407252473,47.69357934999996,0,0,,2,24
-122.412252_47.698579,-122.412252473,47.69857934999995,-122.40225247299999,47.70857934999995,-122.407252473,47.703579349999956,0,0,,2,25
-122.412252_47.708579,-122.412252473,47.70857934999995,-122.40225247299999,47.71857934999995,-122.407252473,47.713579349999954,0,0,,2,26
-122.412252_47.718579,-122.412252473,47.71857934999995,-122.40225247299999,47.72857934999995,-122.407252473,47.72357934999995,0,0,,2,27
-122.412252_47.728579,-122.412252473,47.72857934999995,-122.40225247299999,47.738579349999945,-122.407252473,47.73357934999995,0,0,,2,28
-122.412252_47.738579,-122.412252473,47.738579349999945,-122.40225247299999,47.74857934999994,-122.407252473,47.74357934999995,0,0,,2,29
-122.412252_47.748579,-122.412252473,47.74857934999994,-122.40225247299999,47.75857934999994,-122.407252473,47.753579349999946,0,0,,2,30
-122.412252_47.758579,-122.412252473,47.75857934999994,-122.40225247299999,47.76857934999994,-122.407252473,47.763579349999944,0,0,,2,31
-122.412252_47.768579,-122.412252473,47.76857934999994,-122.40225247299999,47.77857934999994,-122.407252473,47.77357934999994,0,0,,2,32
-122.402252_47.448579,-122.40225247299999,47.44857935,-122.39225247299999,47.45857935,-122.397252473,47.453579350000005,0,0,,3,0
-122.402252_47.458579,-122.40225247299999,47.45857935,-122.39225247299999,47.46857935,-122.397252473,47.46357935,0,0,,3,1
-122.402252_47.468579,-122.40225247299999,47.46857935,-122.39225247299999,47.47857935,-122.397252473,47.47357935,0,0,,3,2
-122.402252_47.478579,-122.40225247299999,47.47857935,-122.39225247299999,47.488579349999995,-122.397252473,47.48357935,0,0,,3,3
-122.402252_47.488579,-122.40225247299999,47.488579349999995,-122.39225247299999,47.49857934999999,-122.397252473,47.49357935,0,0,,3,4
-122.402252_47.498579,-122.40225247299999,47.49857934999999,-122.39225247299999,47.50857934999999,-122.397252473,47.503579349999995,0,0,,3,5
-122.402252_47.508579,-122.40225247299999,47.50857934999999,-122.39225247299999,47.51857934999999,-122.397252473,47.51357934999999,0,0,,3,6
-122.402252_47.518579,-122.40225247299999,47.51857934999999,-122.39225247299999,47.52857934999999,-122.397252473,47.52357934999999,0,0,,3,7
-122.402252_47.528579,-122.40225247299999,47.52857934999999,-122.39225247299999,47.538579349999985,-122.397252473,47.53357934999999,0,0,,3,8
-122.402252_47.538579,-122.40225247299999,47.538579349999985,-122.39225247299999,47.54857934999998,-122.397252473,47.54357934999999,0,0,,3,9
-122.402252_47.548579,-122.40225247299999,47.54857934999998,-122.39225247299999,47.55857934999998,-122.397252473,47.553579349999985,0,0,,3,10
-122.402252_47.558579,-122.40225247299999,47.55857934999998,-122.39225247299999,47.56857934999998,-122.397252473,47.56357934999998,0,0,,3,11
-122.402252_47.568579,-122.40225247299999,47.56857934999998,-122.39225247299999,47.57857934999998,-122.397252473,47.57357934999998,0,0,,3,12
-122.402252_47.578579,-122.40225247299999,47.57857934999998,-122.39225247299999,47.588579349999975,-122.397252473,47.58357934999998,0,0,,3,13
-122.402252_47.588579,-122.40225247299999,47.588579349999975,-122.39225247299999,47.59857934999997,-122.397252473,47.59357934999998,0,0,,3,14
-122.402252_47.598579,-122.40225247299999,47.59857934999997,-122.39225247299999,47.60857934999997,-122.397252473,47.603579349999976,0,0,,3,15
-122.402252_47.608579,-122.40225247299999,47.60857934999997,-122.39225247299999,47.61857934999997,-122.397252473,47.61357934999997,0,0,,3,16
-122.402252_47.618579,-122.40225247299999,47.61857934999997,-122.39225247299999,47.62857934999997,-122.397252473,47.62357934999997,0,0,,3,17
-122.402252_47.628579,-122.40225247299999,47.62857934999997,-122.39225247299999,47.638579349999965,-122.397252473,47.63357934999997,0,0,,3,18
-122.402252_47.638579,-122.40225247299999,47.638579349999965,-122.39225247299999,47.64857934999996,-122.397252473,47.64357934999997,0,0,,3,19
-122.402252_47.648579,-122.40225247299999,47.64857934999996,-122.39225247299999,47.65857934999996,-122.397252473,47.653579349999966,0,0,,3,20
-122.402252_47.658579,-122.40225247299999,47.65857934999996,-122.39225247299999,47.66857934999996,-122.397252473,47.663579349999964,0,0,,3,21
-122.402252_47.668579,-122.40225247299999,47.66857934999996,-122.39225247299999,47.67857934999996,-122.397252473,47.67357934999996,0,0,,3,22
-122.402252_47.678579,-122.40225247299999,47.67857934999996,-122.39225247299999,47.688579349999955,-122.397252473,47.68357934999996,0,0,,3,23
-122.402252_47.688579,-122.40225247299999,47.688579349999955,-122.39225247299999,47.69857934999995,-122.397252473,47.69357934999996,0,0,,3,24
-122.402252_47.698579,-122.40225247299999,47.69857934999995,-122.39225247299999,47.70857934999995,-122.397252473,47.703579349999956,0,0,,3,25
-122.402252_47.708579,-122.40225247299999,47.70857934999995,-122.39225247299999,47.71857934999995,-122.397252473,47.713579349999954,0,0,,3,26
-122.402252_47.718579,-122.40225247299999,47.71857934999995,-122.39225247299999,47.72857934999995,-122.397252473,47.72357934999995,0,0,,3,27
-122.402252_47.728579,-122.40225247299999,47.72857934999995,-122.39225247299999,47.738579349999945,-122.397252473,47.73357934999995,0,0,,3,28
-122.402252_47.738579,-122.40225247299999,47.738579349999945,-122.39225247299999,47.74857934999994,-122.397252473,47.74357934999995,0,0,,3,29
-122.402252_47.748579,-122.40225247299999,47.74857934999994,-122.39225247299999,47.75857934999994,-122.397252473,47.753579349999946,0,0,,3,30
-122.402252_47.758579,-122.40225247299999,47.75857934999994,-122.39225247299999,47.76857934999994,-122.397252473,47.763579349999944,0,0,,3,31
